"Purchase","Usefulness","Packaging","Price","Gender"
"Buy Item",5,6,6,"Male"
"Wish List",3,6,6,"Male"
"Wish List",4,7,2,"Male"
"Buy Item",5,8,5,"Male"
"Buy Item",5,5,7,"Male"
"Buy Item",3,1,6,"Male"
"Leave Item",4,3,1,"Male"
"Wish List",2,6,6,"Male"
"Buy Item",3,7,3,"Male"
"Wish List",3,6,6,"Male"
"Wish List",3,7,6,"Male"
"Wish List",4,6,6,"Male"
"Wish List",3,7,6,"Male"
"Buy Item",4,7,6,"Male"
"Wish List",3,4,10,"Male"
"Wish List",4,7,5,"Male"
"Wish List",2,7,5,"Male"
"Leave Item",2,7,8,"Male"
"Leave Item",3,5,5,"Male"
"Wish List",5,7,6,"Male"
"Buy Item",5,7,9,"Male"
"Leave Item",3,6,6,"Male"
"Buy Item",4,7,6,"Male"
"Buy Item",3,7,6,"Male"
"Buy Item",5,1,6,"Male"
"Leave Item",3,5,6,"Male"
"Leave Item",7,7,6,"Male"
"Wish List",6,7,1,"Male"
"Leave Item",2,4,5,"Male"
"Wish List",3,6,6,"Male"
"Buy Item",2,2,6,"Male"
"Wish List",3,4,5,"Male"
"Wish List",4,6,6,"Male"
"Wish List",8,7,6,"Male"
"Wish List",3,4,6,"Male"
"Leave Item",2,6,1,"Male"
"Wish List",1,4,7,"Male"
"Leave Item",2,5,7,"Male"
"Buy Item",4,9,5,"Male"
"Buy Item",4,6,6,"Male"
"Wish List",3,6,6,"Male"
"Wish List",4,6,7,"Male"
"Wish List",4,6,6,"Male"
"Wish List",3,6,5,"Male"
"Leave Item",2,5,6,"Male"
"Wish List",4,6,6,"Male"
"Wish List",4,6,7,"Male"
"Wish List",3,7,5,"Male"
"Leave Item",4,7,4,"Male"
"Wish List",2,5,6,"Male"
"Wish List",6,6,5,"Female"
"Leave Item",2,6,6,"Female"
"Wish List",3,6,4,"Female"
"Leave Item",3,7,6,"Female"
"Wish List",5,6,6,"Female"
"Wish List",4,6,6,"Female"
"Wish List",5,7,5,"Female"
"Wish List",6,6,6,"Female"
"Leave Item",4,6,5,"Female"
"Leave Item",5,6,5,"Female"
"Wish List",5,5,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",4,7,5,"Female"
"Leave Item",3,6,5,"Female"
"Wish List",6,8,6,"Female"
"Wish List",5,8,7,"Female"
"Leave Item",3,8,6,"Female"
"Wish List",6,7,9,"Female"
"Leave Item",5,7,5,"Female"
"Leave Item",4,4,5,"Female"
"Wish List",5,8,6,"Female"
"Wish List",5,7,5,"Female"
"Wish List",5,7,6,"Female"
"Buy Item",6,10,7,"Female"
"Wish List",4,6,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",5,5,6,"Female"
"Leave Item",6,6,5,"Female"
"Leave Item",3,6,4,"Female"
"Buy Item",7,6,7,"Female"
"Wish List",5,6,6,"Female"
"Wish List",6,6,7,"Female"
"Wish List",5,7,8,"Female"
"Leave Item",5,8,7,"Female"
"Wish List",5,1,6,"Female"
"Wish List",5,7,6,"Female"
"Wish List",4,6,5,"Female"
"Leave Item",4,6,10,"Female"
"Buy Item",4,7,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",4,6,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",6,6,6,"Female"
"Wish List",5,6,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",7,7,6,"Female"
"Leave Item",6,8,4,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",6,6,7,"Female"
"Wish List",5,6,6,"Female"
"Wish List",4,6,6,"Female"
"Leave Item",4,7,10,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",6,3,6,"Female"
"Buy Item",6,7,6,"Female"
"Wish List",3,8,1,"Female"
"Leave Item",4,6,4,"Female"
"Leave Item",2,6,6,"Female"
"Buy Item",5,7,5,"Female"
"Wish List",5,5,6,"Female"
"Wish List",5,7,5,"Female"
"Leave Item",5,8,7,"Female"
"Leave Item",2,7,5,"Female"
"Wish List",4,7,6,"Female"
"Leave Item",4,0,5,"Female"
"Leave Item",5,7,6,"Female"
"Buy Item",6,7,7,"Female"
"Wish List",6,6,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",5,6,6,"Female"
"Buy Item",7,7,5,"Female"
"Leave Item",5,7,9,"Female"
"Wish List",4,6,5,"Female"
"Leave Item",5,8,5,"Female"
"Wish List",6,6,6,"Female"
"Buy Item",7,7,7,"Female"
"Leave Item",5,5,5,"Female"
"Wish List",5,9,6,"Female"
"Buy Item",5,6,6,"Female"
"Wish List",6,5,6,"Female"
"Wish List",4,0,6,"Female"
"Wish List",5,4,7,"Female"
"Leave Item",3,6,10,"Female"
"Leave Item",0,3,5,"Female"
"Wish List",5,4,2,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",2,6,5,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",5,3,5,"Female"
"Wish List",4,4,6,"Female"
"Buy Item",8,7,6,"Female"
"Wish List",6,6,6,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",5,7,5,"Female"
"Leave Item",3,7,3,"Female"
"Leave Item",5,6,5,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",3,7,3,"Female"
"Leave Item",4,7,5,"Female"
"Wish List",5,6,1,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",5,5,5,"Female"
"Wish List",5,5,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",6,7,7,"Female"
"Wish List",5,6,6,"Female"
"Wish List",5,6,1,"Female"
"Leave Item",5,9,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",6,5,5,"Female"
"Wish List",6,7,6,"Female"
"Leave Item",4,9,5,"Female"
"Buy Item",8,7,7,"Female"
"Leave Item",7,6,6,"Female"
"Leave Item",5,7,6,"Female"
"Wish List",5,6,5,"Female"
"Wish List",4,6,6,"Female"
"Leave Item",6,9,7,"Female"
"Wish List",6,7,6,"Female"
"Leave Item",3,6,5,"Female"
"Leave Item",2,5,6,"Female"
"Leave Item",4,6,5,"Female"
"Leave Item",4,4,5,"Female"
"Leave Item",4,6,5,"Female"
"Buy Item",10,9,8,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",4,7,6,"Female"
"Wish List",5,6,6,"Female"
"Wish List",5,5,7,"Female"
"Wish List",9,7,6,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",1,4,3,"Female"
"Leave Item",4,6,9,"Female"
"Leave Item",2,6,5,"Female"
"Wish List",5,6,6,"Female"
"Wish List",3,4,6,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",6,5,5,"Female"
"Leave Item",3,8,7,"Female"
"Wish List",8,6,7,"Female"
"Wish List",4,5,5,"Female"
"Wish List",5,6,7,"Female"
"Leave Item",6,4,5,"Female"
"Wish List",3,6,6,"Female"
"Leave Item",6,7,5,"Female"
"Wish List",6,4,6,"Female"
"Leave Item",5,5,5,"Female"
"Leave Item",2,8,5,"Female"
"Wish List",6,7,6,"Female"
"Leave Item",4,6,5,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",4,6,5,"Female"
"Wish List",6,2,6,"Female"
"Wish List",4,5,5,"Female"
"Wish List",5,2,6,"Female"
"Wish List",6,7,6,"Female"
"Leave Item",4,6,6,"Female"
"Buy Item",9,6,7,"Female"
"Leave Item",5,3,6,"Female"
"Wish List",6,7,7,"Female"
"Wish List",4,8,6,"Female"
"Wish List",6,3,6,"Female"
"Leave Item",4,6,2,"Female"
"Wish List",7,7,5,"Female"
"Leave Item",1,7,4,"Female"
"Leave Item",3,8,5,"Female"
"Wish List",5,6,4,"Female"
"Wish List",5,6,7,"Female"
"Buy Item",8,7,7,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",3,5,4,"Female"
"Leave Item",4,3,6,"Female"
"Leave Item",5,3,4,"Female"
"Wish List",5,7,9,"Female"
"Leave Item",2,6,3,"Female"
"Leave Item",5,7,6,"Female"
"Wish List",5,6,6,"Female"
"Wish List",5,6,10,"Female"
"Leave Item",5,7,5,"Female"
"Wish List",3,5,10,"Female"
"Leave Item",6,7,6,"Female"
"Wish List",9,9,7,"Female"
"Leave Item",3,6,5,"Female"
"Leave Item",4,3,5,"Female"
"Leave Item",4,7,5,"Female"
"Leave Item",4,5,6,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",4,6,3,"Female"
"Leave Item",5,9,2,"Female"
"Leave Item",3,4,4,"Female"
"Leave Item",5,4,6,"Female"
"Buy Item",6,7,6,"Female"
"Wish List",4,6,9,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",5,6,5,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",4,6,5,"Female"
"Wish List",4,5,5,"Female"
"Wish List",5,6,5,"Female"
"Wish List",5,1,5,"Female"
"Wish List",5,6,10,"Female"
"Wish List",5,9,6,"Female"
"Leave Item",5,7,9,"Female"
"Wish List",5,6,5,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",4,6,7,"Female"
"Wish List",6,7,5,"Female"
"Wish List",5,7,6,"Female"
"Buy Item",6,6,8,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",4,5,4,"Female"
"Leave Item",6,7,5,"Female"
"Wish List",5,7,5,"Female"
"Wish List",5,6,5,"Female"
"Buy Item",6,4,7,"Female"
"Leave Item",6,7,6,"Female"
"Leave Item",3,6,6,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",5,7,5,"Female"
"Leave Item",4,3,6,"Female"
"Wish List",5,8,5,"Female"
"Wish List",3,5,5,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",5,6,5,"Female"
"Wish List",5,6,6,"Female"
"Wish List",5,7,6,"Female"
"Wish List",7,7,6,"Female"
"Leave Item",5,7,5,"Female"
"Leave Item",4,6,5,"Female"
"Leave Item",3,7,6,"Female"
"Leave Item",2,2,4,"Female"
"Wish List",5,7,2,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",2,7,4,"Female"
"Wish List",4,6,9,"Female"
"Buy Item",5,7,7,"Female"
"Buy Item",6,2,3,"Female"
"Leave Item",4,7,7,"Female"
"Wish List",8,8,8,"Female"
"Leave Item",4,6,6,"Female"
"Wish List",4,6,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",3,6,6,"Female"
"Leave Item",5,6,5,"Female"
"Wish List",4,7,6,"Female"
"Leave Item",6,6,2,"Female"
"Wish List",8,5,6,"Female"
"Wish List",5,6,6,"Female"
"Buy Item",7,6,8,"Female"
"Buy Item",6,2,6,"Female"
"Leave Item",3,7,4,"Female"
"Wish List",4,6,4,"Female"
"Wish List",6,6,7,"Female"
"Buy Item",7,7,5,"Female"
"Wish List",7,7,6,"Female"
"Leave Item",4,5,5,"Female"
"Leave Item",4,7,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",3,6,5,"Female"
"Buy Item",9,8,7,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",6,5,6,"Female"
"Leave Item",4,7,5,"Female"
"Leave Item",3,5,5,"Female"
"Wish List",4,6,6,"Female"
"Leave Item",4,5,5,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",4,5,2,"Female"
"Leave Item",3,5,4,"Female"
"Wish List",5,6,6,"Female"
"Wish List",6,6,10,"Female"
"Wish List",4,6,5,"Female"
"Wish List",5,10,6,"Female"
"Wish List",4,7,6,"Female"
"Wish List",4,6,3,"Female"
"Wish List",7,7,6,"Female"
"Leave Item",4,6,3,"Female"
"Leave Item",5,6,5,"Female"
"Leave Item",3,6,5,"Female"
"Leave Item",3,6,4,"Female"
"Leave Item",4,7,5,"Female"
"Wish List",5,6,6,"Female"
"Wish List",5,6,4,"Female"
"Buy Item",5,3,5,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",5,10,5,"Female"
"Buy Item",4,7,6,"Female"
"Wish List",5,6,5,"Female"
"Wish List",4,6,5,"Female"
"Wish List",5,6,7,"Female"
"Leave Item",7,6,6,"Female"
"Leave Item",4,6,5,"Female"
"Leave Item",3,7,6,"Female"
"Leave Item",2,7,6,"Female"
"Wish List",5,6,3,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",4,6,6,"Female"
"Buy Item",5,7,6,"Female"
"Leave Item",3,10,4,"Female"
"Leave Item",3,7,6,"Female"
"Leave Item",6,7,7,"Female"
"Wish List",4,5,5,"Female"
"Wish List",5,7,9,"Female"
"Wish List",5,6,6,"Female"
"Wish List",6,6,5,"Female"
"Leave Item",4,6,6,"Female"
"Wish List",6,6,6,"Female"
"Wish List",6,7,7,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",5,6,5,"Female"
"Leave Item",6,6,6,"Female"
"Buy Item",7,7,7,"Female"
"Wish List",7,9,5,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",4,6,5,"Female"
"Wish List",5,6,6,"Female"
"Wish List",5,10,6,"Female"
"Leave Item",4,6,5,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",6,4,6,"Female"
"Wish List",5,6,5,"Female"
"Leave Item",3,2,9,"Female"
"Leave Item",5,3,5,"Female"
"Wish List",5,3,6,"Female"
"Wish List",2,6,4,"Female"
"Leave Item",5,7,5,"Female"
"Wish List",6,6,6,"Female"
"Buy Item",8,5,7,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",5,7,5,"Female"
"Wish List",5,6,5,"Female"
"Leave Item",3,6,5,"Female"
"Leave Item",5,1,5,"Female"
"Buy Item",9,2,9,"Female"
"Leave Item",5,7,7,"Female"
"Wish List",7,4,6,"Female"
"Buy Item",7,7,5,"Female"
"Wish List",7,7,7,"Female"
"Buy Item",6,6,10,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",3,6,6,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",3,5,5,"Female"
"Leave Item",5,6,0,"Female"
"Wish List",5,6,6,"Female"
"Wish List",5,7,6,"Female"
"Buy Item",6,7,3,"Female"
"Wish List",3,5,6,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",5,6,5,"Female"
"Buy Item",5,6,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",6,6,6,"Female"
"Wish List",4,6,6,"Female"
"Leave Item",3,7,6,"Female"
"Wish List",5,6,6,"Female"
"Buy Item",5,2,1,"Female"
"Leave Item",2,6,4,"Female"
"Leave Item",3,5,6,"Female"
"Leave Item",4,7,5,"Female"
"Leave Item",4,6,5,"Female"
"Leave Item",4,6,5,"Female"
"Wish List",6,6,6,"Female"
"Leave Item",5,6,5,"Female"
"Buy Item",5,5,5,"Female"
"Wish List",4,6,9,"Female"
"Wish List",6,7,6,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",5,5,6,"Female"
"Leave Item",6,6,6,"Female"
"Wish List",6,6,7,"Female"
"Buy Item",6,6,7,"Female"
"Wish List",5,4,6,"Female"
"Wish List",5,5,5,"Female"
"Leave Item",5,7,7,"Female"
"Wish List",5,4,6,"Female"
"Wish List",6,7,7,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",5,9,6,"Female"
"Wish List",3,6,5,"Female"
"Leave Item",5,2,0,"Female"
"Leave Item",6,5,6,"Female"
"Wish List",5,5,5,"Female"
"Leave Item",5,6,6,"Female"
"Buy Item",6,4,6,"Female"
"Leave Item",3,7,4,"Female"
"Leave Item",5,7,5,"Female"
"Leave Item",4,7,5,"Female"
"Wish List",4,7,6,"Female"
"Leave Item",5,6,5,"Female"
"Wish List",7,6,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",5,7,6,"Female"
"Wish List",6,6,7,"Female"
"Leave Item",3,6,5,"Female"
"Wish List",7,6,3,"Female"
"Wish List",6,1,7,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",5,7,6,"Female"
"Wish List",5,7,7,"Female"
"Leave Item",3,1,4,"Female"
"Leave Item",7,7,8,"Female"
"Leave Item",5,7,6,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",3,1,5,"Female"
"Wish List",6,7,5,"Female"
"Wish List",6,6,6,"Female"
"Wish List",5,6,5,"Female"
"Leave Item",5,9,3,"Female"
"Leave Item",5,7,5,"Female"
"Leave Item",4,6,5,"Female"
"Wish List",5,7,5,"Female"
"Leave Item",4,7,6,"Female"
"Wish List",3,5,6,"Female"
"Wish List",4,6,6,"Female"
"Wish List",4,4,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",6,6,2,"Female"
"Wish List",5,6,7,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",4,7,6,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",5,6,4,"Female"
"Buy Item",4,4,4,"Female"
"Leave Item",6,7,7,"Female"
"Leave Item",4,7,5,"Female"
"Wish List",6,6,5,"Female"
"Leave Item",4,6,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",6,7,6,"Female"
"Leave Item",5,3,5,"Female"
"Leave Item",5,6,5,"Female"
"Leave Item",4,5,5,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",4,6,9,"Female"
"Buy Item",7,5,6,"Female"
"Wish List",3,5,6,"Female"
"Wish List",5,7,5,"Female"
"Leave Item",5,2,6,"Female"
"Leave Item",5,9,5,"Female"
