"id","female","ses","schtyp","prog","read","write","math","science","socst","honors","awards","cid"
59,1,2,1,2,65,67,63,55,71,1,7,18
143,0,2,1,3,63,63,75,72,66,1,4,20
71,1,2,1,1,57,62,56,58,66,1,3,15
32,1,3,1,3,50,67,66,66,56,1,7,18
126,0,2,1,1,42,31,57,47,51,0,0,4
193,1,2,2,2,44,49,48,39,51,0,0,5
53,0,2,1,3,34,37,46,39,31,0,0,1
180,1,3,2,2,71,65,69,58,71,1,5,20
2,1,2,1,3,39,41,33,42,41,0,0,1
194,1,3,2,2,63,63,69,61,61,1,4,19
132,0,2,1,2,73,62,73,69,66,1,3,20
198,1,3,2,2,47,61,51,63,31,1,3,13
13,1,2,1,3,47,46,39,47,61,0,0,5
146,0,3,1,2,55,62,64,63,66,1,3,17
35,1,1,2,1,60,54,50,50,51,0,1,11
39,1,3,1,2,66,67,67,61,66,1,7,19
77,1,1,1,2,61,59,49,44,66,0,2,11
128,0,3,1,2,39,33,38,47,41,0,0,2
121,1,2,1,3,68,59,53,63,61,0,2,17
47,1,1,1,2,47,46,49,33,41,0,0,4
147,1,1,1,2,47,62,53,53,61,1,3,11
22,0,2,1,3,42,39,39,56,46,0,0,4
171,0,2,1,2,60,54,60,55,66,0,1,14
150,0,2,1,3,42,41,57,72,31,0,0,11
131,1,3,1,2,65,59,57,46,66,0,2,14
4,1,1,1,2,44,50,41,39,51,0,1,3
166,1,2,1,2,52,59,53,61,51,0,2,13
117,0,3,1,3,34,49,39,42,56,0,0,2
181,0,2,2,2,50,46,45,58,61,0,0,8
185,0,2,2,2,63,57,55,58,41,0,2,15
100,1,3,1,2,63,65,71,69,71,1,5,20
151,1,2,1,3,47,46,52,48,46,0,0,7
111,1,1,1,1,39,54,39,47,36,0,1,5
46,1,1,1,2,45,55,44,34,41,0,2,5
60,0,2,1,2,57,65,51,63,61,1,5,16
87,1,2,1,1,50,52,46,50,56,0,1,8
79,1,2,1,2,60,62,49,50,51,1,3,12
165,0,1,1,3,36,49,54,61,36,0,0,8
191,1,3,2,2,47,52,43,48,61,0,1,7
11,0,2,1,2,34,46,45,39,36,0,0,2
167,0,2,1,1,63,49,35,66,41,0,0,11
163,1,1,1,2,52,57,64,58,56,0,2,15
137,1,3,1,2,63,65,65,53,61,1,5,17
15,0,3,1,3,39,39,44,26,42,0,0,1
19,1,1,1,1,28,46,43,44,51,0,0,2
192,0,3,2,2,65,67,63,66,71,1,7,19
68,0,2,1,2,73,67,71,63,66,1,7,20
14,0,3,1,2,47,41,54,42,56,0,0,6
64,1,3,1,3,50,52,45,58,36,0,1,10
170,0,3,1,2,47,62,61,69,66,1,3,16
110,1,2,1,3,52,55,50,54,61,0,2,11
50,0,2,1,1,50,59,42,53,61,0,2,9
188,1,3,2,2,63,62,56,55,61,1,3,16
9,0,2,1,3,48,49,52,44,51,0,0,7
54,1,1,2,1,47,54,46,50,56,0,1,8
38,0,1,1,2,45,57,50,31,56,0,2,6
148,1,2,1,3,42,57,51,47,61,0,2,8
189,0,2,2,2,47,59,63,53,46,0,2,13
66,1,2,1,3,68,62,56,50,51,1,3,16
186,1,2,2,2,57,62,63,55,41,1,3,16
123,0,3,1,1,68,59,56,63,66,0,2,18
116,1,2,1,2,57,59,54,50,56,0,2,12
31,1,2,2,1,55,59,52,42,56,0,2,10
139,1,2,1,2,68,59,61,55,71,0,2,17
105,1,2,1,2,50,41,45,44,56,0,0,5
93,1,3,1,2,73,67,62,58,66,1,7,19
172,0,2,1,2,47,52,57,53,61,0,1,10
179,1,2,2,2,47,65,60,50,56,1,5,13
69,1,1,1,3,44,44,40,40,31,0,0,3
149,0,1,1,1,63,49,49,66,46,0,0,14
182,1,2,2,2,44,52,43,44,51,0,1,6
140,0,2,1,3,44,41,40,50,26,0,0,4
119,1,1,1,1,42,57,45,50,43,0,2,7
20,0,3,1,2,60,52,57,61,61,0,1,14
3,0,1,1,2,63,65,48,63,56,1,5,16
42,1,2,1,3,46,52,55,44,56,0,1,8
169,0,1,1,1,55,59,63,69,46,0,2,18
142,1,2,1,3,47,42,52,39,51,0,0,5
88,1,3,1,2,68,60,64,69,66,1,2,19
196,0,3,2,2,44,38,49,39,46,0,0,3
8,1,1,1,2,39,44,52,44,48,0,0,5
62,0,3,1,1,65,65,48,63,66,1,5,16
82,1,3,1,2,68,62,65,69,61,1,3,20
129,1,1,1,1,44,44,46,47,51,0,0,6
183,0,2,2,2,63,59,49,55,71,0,2,13
72,1,2,1,3,42,54,47,47,46,0,1,6
28,1,2,1,1,39,53,54,50,41,0,1,7
106,1,2,1,3,36,44,37,42,41,0,0,2
109,1,2,1,1,42,39,42,42,41,0,0,2
152,1,3,1,2,55,57,56,58,61,0,2,13
159,0,3,1,2,55,61,54,49,61,1,3,12
135,1,1,1,2,63,60,65,54,66,1,2,17
115,0,1,1,1,42,49,43,50,56,0,0,6
94,0,3,1,2,55,49,61,61,56,0,0,14
96,1,3,1,2,65,54,61,58,56,0,1,16
65,1,2,1,2,55,54,66,42,56,0,1,12
85,0,2,1,1,55,39,57,53,46,0,0,9
26,1,3,1,2,60,59,62,61,51,0,2,17
48,0,2,1,2,57,55,52,50,51,0,2,11
173,1,1,1,1,50,62,61,63,51,1,3,16
101,1,3,1,2,60,62,67,50,56,1,3,16
21,0,2,1,1,44,44,61,50,46,0,0,8
16,0,1,1,3,47,31,44,36,36,0,0,2
190,1,2,2,2,47,59,54,58,46,0,2,12
158,1,2,1,1,52,54,55,53,51,0,1,11
91,1,3,1,3,50,49,56,47,46,0,0,9
84,0,2,1,1,63,57,54,58,51,0,2,15
36,1,1,1,1,44,49,44,35,51,0,0,3
99,1,3,1,1,47,59,56,66,61,0,2,14
98,1,1,1,3,57,60,51,53,37,1,2,12
