Name,Manufacturer,Mfr,Cold,Calories,Cal Cat,Protein,Fat,Sodium,Sod Cat,Fiber,Fiber Cat,Complex Carbos,Tot Carbo,Sugars,Calories fr Fat,Potassium,Enriched,Wt/serving,cups/serv
French Toast Crisp,General Mills,G,C,120,High Cal,1,1,170,High Sodium,0,Low Fiber,14,26,12,10,0,25,30,0.75
Froot Loops,Kelloggs,K,C,120,High Cal,2,1,150,Low Sodium,1,Low Fiber,12,28,15,10,35,25,32,1
Frosted Alphabits,Post,P,C,130,High Cal,3,1.5,210,High Sodium,1,Low Fiber,13,27,13,10,60,25,32,1
Frosted Cheerios,General Mills,G,C,120,High Cal,2,1,210,High Sodium,1,Low Fiber,11,25,13,10,60,25,30,1
Frosted Flakes,Kelloggs,K,C,120,High Cal,1,0,200,High Sodium,1,Low Fiber,14,28,13,0,20,25,31,0.75
Frosted Mini-Wheats,Kelloggs,K,C,200,High Cal,6,2,5,Low Sodium,6,High Fiber,30,48,12,10,200,25,59,1
"Fruit & Fibre Dates, Walnuts, and Oa",Post,P,C,210,High Cal,4,3,250,High Sodium,5,Medium Fiber,20,42,17,25,250,30,55,1
Golden Crisp,Post,P,C,110,High Cal,1,0,40,Low Sodium,0,Low Fiber,10,25,15,0,35,25,27,0.75
Golden Grahams,General Mills,G,C,120,High Cal,1,1,280,High Sodium,1,Low Fiber,14,26,11,10,0,25,30,0.75
Grape Nuts Flakes,Post,P,C,100,Low Cal,3,1,140,Low Sodium,3,Medium Fiber,16,24,5,10,80,25,29,0.75
Grape-Nuts,Post,P,C,200,High Cal,6,1,350,High Sodium,5,Medium Fiber,35,47,7,10,160,25,58,0.5
Honey Frosted Wheaties,General Mills,G,C,110,High Cal,1,0,200,High Sodium,0,Low Fiber,15,27,12,0,35,25,30,0.75
Honey Graham Ohs,Quaker Oats,Q,C,110,High Cal,1,2,180,High Sodium,1,Low Fiber,11,23,11,20,45,25,23,0.75
Honey Nut Cheerios,General Mills,G,C,120,High Cal,3,1.5,270,High Sodium,2,Medium Fiber,11,24,11,10,95,25,30,1
Honey-comb,Post,P,C,110,High Cal,2,0.5,220,High Sodium,1,Low Fiber,14,26,11,5,35,25,24,1.33
Just Right Fruit & Nut,Kelloggs,K,C,220,High Cal,4,2,280,High Sodium,3,Medium Fiber,31,49,15,20,170,25,60,1
Kix,General Mills,G,C,120,High Cal,2,0.5,270,High Sodium,1,Low Fiber,26,30,3,5,45,25,30,1.33
Life,Quaker Oats,Q,C,120,High Cal,3,1.5,160,High Sodium,2,Medium Fiber,17,25,6,15,90,25,32,0.75
Low Fat Granola w raisins,Kelloggs,K,C,220,High Cal,5,3,150,Low Sodium,3,Medium Fiber,28,47,16,30,170,25,60,0.66
Lucky Charms,General Mills,G,C,120,High Cal,2,1,210,High Sodium,1,Low Fiber,11,25,13,10,0,25,30,1
Maypo,American Home,A,H,150,High Cal,5,2,0,Low Sodium,3,Medium Fiber,21,27,3,15,170,30,42,0.33
Mueslix Healthy Choice,Kelloggs,K,C,200,High Cal,5,3,160,High Sodium,4,Medium Fiber,20,41,17,25,240,25,55,0.67
Multi Bran Chex,General Mills,G,C,200,High Cal,4,1,360,High Sodium,7,High Fiber,30,49,12,15,230,25,58,1
Multi-Grain Cheerios,General Mills,G,C,110,High Cal,3,1,200,High Sodium,3,Medium Fiber,15,24,6,10,85,100,30,1
Oatmeal Raisin Crisp,General Mills,G,C,210,High Cal,4,2.5,210,High Sodium,4,Medium Fiber,20,44,20,25,210,25,55,1
Post Premium Raisin Bran,Post,P,C,190,High Cal,4,1,300,High Sodium,8,High Fiber,19,47,20,10,340,35,59,1
Product 19,Kelloggs,K,C,100,Low Cal,2,0,210,High Sodium,1,Low Fiber,20,25,4,0,50,100,30,1
Puffed Rice,Quaker Oats,Q,C,50,Low Cal,1,0,0,Low Sodium,0,Low Fiber,12,12,0,0,15,0,14,1
Puffed Wheat,Quaker Oats,Q,C,50,Low Cal,2,0,0,Low Sodium,1,Low Fiber,10,11,0,0,15,0,12,1.25
Quaker Oat Bran,Quaker Oats,Q,C,210,High Cal,7,3,210,High Sodium,6,High Fiber,28,43,9,25,250,25,57,1.25
Quaker Oat Squares ,Quaker Oats,Q,C,220,High Cal,7,2.5,260,High Sodium,4,Medium Fiber,30,43,9,25,230,25,56,1
Quaker Oatmeal,Quaker Oats,Q,H,150,High Cal,5,3,0,Low Sodium,4,Medium Fiber,22,27,1,25,0,0,40,0.5
Quaker Oatmeal Squares,Quaker Oats,Q,C,220,High Cal,7,2.5,260,High Sodium,4,Medium Fiber,30,43,9,25,230,25,56,1
Raisin Bran Two Scoops,Kelloggs,K,C,200,High Cal,6,1.5,390,High Sodium,6,High Fiber,23,47,18,15,350,25,61,1
Raisin Nut Bran,General Mills,G,C,200,High Cal,4,4,250,High Sodium,5,Medium Fiber,20,41,16,35,230,25,55,0.75
Rice Chex,General Mills,G,C,120,High Cal,2,0,290,High Sodium,0,Low Fiber,25,27,2,0,35,25,31,1.25
Rice Krispies,Kelloggs,K,C,120,High Cal,2,0,350,High Sodium,0,Low Fiber,26,29,3,0,40,25,33,1.25
Shredded Wheat 'n'Bran,Nabisco,N,C,200,High Cal,7,1,0,Low Sodium,8,High Fiber,38,47,1,5,250,20,59,1.25
Shredded Wheat (2 bsquit),Nabisco,N,C,160,High Cal,5,0.5,0,Low Sodium,5,Medium Fiber,33,38,0,5,200,15,46,1
Shredded Wheat spoon size,Nabisco,N,C,170,High Cal,5,0.5,0,Low Sodium,5,Medium Fiber,36,41,0,5,200,15,49,1
Smacks,Kelloggs,K,C,100,Low Cal,2,0.5,50,Low Sodium,1,Low Fiber,8,24,15,5,40,25,27,0.75
Smart Start,Kelloggs,K,C,180,High Cal,3,0.5,310,High Sodium,2,Medium Fiber,26,43,15,5,100,100,50,1
Special K,Kelloggs,K,C,110,High Cal,6,0,220,High Sodium,1,Low Fiber,18,23,4,0,60,35,31,1
Toasted Oatmeal,Quaker Oats,Q,C,190,High Cal,5,,220,High Sodium,3,Medium Fiber,25,39,11,25,180,25,49,1
Total Corn Flakes,General Mills,G,C,110,High Cal,2,0,200,High Sodium,0,Low Fiber,23,26,3,0,30,100,30,1.33
Total Whole Grain,General Mills,G,C,110,High Cal,3,1,200,High Sodium,3,Medium Fiber,16,24,5,10,100,100,30,0.75
Trix,General Mills,G,C,120,High Cal,1,,200,High Sodium,1,Low Fiber,12,26,13,15,20,25,30,1
Waffle Crisp,Post,P,C,130,High Cal,2,3,120,Low Sodium,0,Low Fiber,13,24,11,25,30,25,30,1
Wheat Chex,General Mills,G,C,180,High Cal,5,1,420,High Sodium,5,Medium Fiber,31,41,5,10,200,25,50,1
Wheaties,General Mills,G,C,110,High Cal,3,1,420,High Sodium,5,Medium Fiber,31,41,5,10,110,25,30,1
