"Female","Age","Neuroticism","Extraversion","Happiness","ERA","QSR"
1,50,3.375,2.75,5.5,0.1490125,21.75
1,52,3.875,3.125,2.75,0.3565125,14.5
1,52,2.5,4.5,5.75,0.383258333,18.25
1,22,4.083333333,3.166666667,5.75,0.376366667,25.75
0,21,3.125,4.625,5.75,0.443995833,20.5
1,43,4,3.25,5.75,0.414291667,23.5
1,45,3.375,3.625,4.75,0.362445833,14.75
1,50,4.125,3.375,4.25,0.260066667,16
1,55,2.875,2.75,4,0.355895833,19.5
1,21,3.916666667,3.166666667,4.25,0.422575,25.25
0,32,3.625,2,1.75,0.4154125,19.5
0,21,3.125,4.125,5.5,0.3785375,25.25
0,20,1.333333333,4.166666667,6.75,0.4359375,19.25
1,22,3,3.625,6.5,0.373975,21.25
0,22,2.875,4.25,6,0.431879167,24.5
1,57,3.125,4,5.75,0.343883333,24.5
0,20,2.166666667,4.166666667,6,0.40285,26
0,47,3,3.25,4.25,0.444316667,18.5
1,53,3.125,2.625,4.75,0.400470833,18
1,21,2,4.375,6,0.405979167,24.5
1,21,3.5,3.833333333,2.25,0.4109625,25.25
1,21,3.25,3.5,4.75,0.423545833,24.5
0,25,4.375,4.375,2,0.3422375,24.75
0,51,2,4.375,5.5,0.375370833,20.75
1,32,4.25,4.125,4.25,0.4462875,23
1,24,2.75,2.583333333,3.25,0.331945833,23.25
1,50,1.75,3.625,5.5,0.4379,19.75
0,34,1.875,3.625,5.25,0.373620833,20.25
0,30,1.875,3.875,6.5,0.26125,23.5
1,51,2.375,3.875,5,0.391608333,21.25
1,49,3.625,3.25,4,0.420641667,18.25
0,56,1.875,4.25,6,0.440866667,13.75
0,50,3.375,2.625,4.5,0.373208333,17.75
1,48,2.75,2.75,5.5,0.3734375,12.25
0,56,1.625,2.625,5.75,0.362645833,14.75
1,28,3.625,3.375,4.75,0.450654167,22
0,55,1.5,5,6.75,0.370333333,25.25
1,21,3.375,2.625,6,0.346725,24
1,54,2.75,3.125,5.5,0.268916667,23.75
0,20,3.125,3.625,5.75,0.3036375,23.5
1,55,2.5,2.25,4.25,0.2715125,10.25
0,21,2.166666667,3.333333333,5.5,0.462208333,24
0,22,4.916666667,2,1.25,0.410795833,13.25
1,44,3.375,3.875,3.75,0.404341667,12.25
0,47,3,4,5.25,0.438141667,21.25
0,45,3.125,2.625,6,0.343991667,14.75
1,38,2.25,4.5,6.5,0.412858333,19.75
0,65,3.875,4,5.5,0.4426375,19.25
1,21,3,3.625,5.5,0.380875,24.75
0,22,2.5,2.25,3.75,0.4572,14.5
1,48,2.125,3.25,7,0.377970833,22
1,24,3.75,3.5,6,0.349408333,24
1,47,3.75,4.5,5.75,0.206104167,25.5
1,31,4.25,2.5,4.75,0.362116667,24
0,60,2.75,3.125,4.5,0.2600625,18.25
0,53,2.875,3.75,4.75,0.26385,11
1,54,2.125,3.5,4.25,0.41205,20.75
0,54,1.625,3.125,6.25,0.3541125,17
1,50,4,4.25,5.75,0.245108333,23.5
0,43,3.625,3.125,4,0.252041667,16.75
0,21,3.625,3.125,7,0.469508333,18.75
0,41,1.625,4.5,7,0.413558333,19.5
1,21,2.625,3,4.75,0.4033375,21.75
0,46,2.5,3.25,5.5,0.301941667,21
1,59,4,3.5,6,0.392491667,20
0,25,1.5,3.875,5.5,0.299475,22.75
0,54,2.5,3.625,6.5,0.254591667,18.25
1,48,3.375,4,5.25,0.27585,19.5
1,21,3.083333333,4,5.5,0.396116667,25
0,24,3.416666667,2.333333333,3.25,0.41385,23.75
0,50,2.625,2.25,6.25,0.387083333,20.75
1,28,3.125,3.125,5,0.271129167,17.75
1,54,3.125,2.875,4.5,0.35305,21.25
0,20,3.375,4.25,5,0.257841667,23.5
0,56,2.875,4.75,5.25,0.3284625,19.25
1,46,3.875,3.75,5.25,0.334766667,23.75
1,63,3.125,4.75,5.5,0.3622125,18.75
1,22,2.75,3.75,6.5,0.460458333,26
1,24,1.833333333,3.75,5.75,0.418179167,20.5
1,22,3.375,3.875,6.25,0.4230125,23.25
1,26,4.25,2.75,4.5,0.343758333,20.75
1,21,2.833333333,3.416666667,4.5,0.300491667,23.25
1,44,2.5,3.375,6,0.4795875,19.75
