"Age","Female","College.grad","Have.child","Marital.status","Job","Religiosity","Social.support","Life.satisfaction","Happiness","Stressors","Depression"
32,1,1,0,"Married","SupportServices",49,19,79,44,28,32
23,1,1,0,"Single","Professional",53,23,85,50,40,41
36,1,0,1,"Married","Academic",68,39,93,50,1,13
26,1,1,0,"Boy/Girlfriend","Professional",47,16,81,46,2,13
25,1,1,0,"Single","Academic",61,32,80,44,6,16
27,1,1,0,"Cohabitant","Professional",54,24,76,41,34,36
54,1,0,1,"Married","Academic",68,39,90,60,16,23
23,1,1,0,"Boy/Girlfriend","Professional",70,41,95,60,15,24
25,1,1,0,"Married","Professional",52,22,93,58,14,22
22,1,1,0,"Boy/Girlfriend","Academic",59,29,78,50,2,13
24,0,1,0,"Cohabitant","SupportServices",64,35,89,54,4,15
34,1,1,1,"Single","SupportServices",55,25,86,51,51,49
28,1,1,0,"Cohabitant","Academic",58,28,91,36,7,17
25,0,1,0,"Boy/Girlfriend","SupportServices",70,41,84,49,24,29
26,0,1,0,"Single","Academic",48,17,75,54,21,27
24,1,1,0,"Boy/Girlfriend","SupportServices",84,57,97,63,10,19
23,1,1,0,"Single","Professional",67,38,86,51,6,16
28,1,1,0,"Single","SupportServices",49,19,79,44,4,15
23,1,1,0,"Boy/Girlfriend","Academic",77,49,101,39,13,21
24,1,1,0,"Single","SupportServices",65,36,83,48,15,23
22,1,1,0,"Boy/Girlfriend","Academic",53,23,78,41,0,12
25,1,1,0,"Boy/Girlfriend","Professional",66,37,80,45,4,15
25,1,1,0,"Single","Academic",81,53,94,50,4,15
23,1,1,0,"Boy/Girlfriend","SupportServices",51,21,60,25,20,26
23,1,1,0,"Single","Academic",59,29,76,42,1,13
23,1,1,0,"Single","SupportServices",50,20,77,42,10,19
34,1,0,1,"Cohabitant","Academic",74,46,95,44,11,20
25,0,1,0,"Single","Academic",42,11,80,42,14,22
22,1,1,1,"Boy/Girlfriend","Academic",64,35,98,46,40,41
36,1,0,1,"Single","Academic",58,28,72,47,8,18
36,1,0,1,"Married","Academic",72,44,97,46,19,26
35,1,1,0,"Single","Academic",42,11,62,46,39,40
42,1,1,1,"Married","SupportServices",52,22,68,33,37,39
40,1,0,1,"Married","Academic",73,45,102,51,9,18
36,1,1,1,"Boy/Girlfriend","Professional",70,41,90,55,6,16
33,1,0,0,"Single","Academic",64,35,74,55,13,21
41,0,0,1,"Married","Academic",70,41,86,27,7,17
25,0,1,0,"Single","SupportServices",69,40,95,60,7,17
29,1,1,0,"Single","Academic",64,35,100,39,29,33
25,1,1,0,"Boy/Girlfriend","Professional",54,24,72,37,31,34
28,1,1,0,"Boy/Girlfriend","Academic",52,22,73,37,19,26
24,1,1,0,"Boy/Girlfriend","Professional",53,23,82,47,7,17
22,1,1,0,"Single","Academic",63,34,96,36,10,19
34,0,0,1,"Cohabitant","Academic",58,28,76,40,35,37
26,1,1,1,"Single","Academic",53,23,71,41,37,39
50,1,0,1,"Married","Academic",77,49,101,39,23,28
